codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
AF,"['""7""', '""0""', '""0""', '""1,002""', '""0""', '""1,300""', '""338""', '""0""', '""623""']",3272,75,600
AL,"['""2""', '""0""', '""57""', '""1,109""', '""0""', '""846""', '""251""', '""0""', '""474""']",2741,45,2228
DZ,"['""73""', '""219""', '""265""', '""10,461""', '""23""', '""15,320""', '""5,921""', '""0""', '""20,227""']",52512,127,25423
AD,"['""0""', '""0""', '""0""', '""4""', '""21""', '""0""', '""0""', '""0""', '""24""']",50,3,45
AO,"['""0""', '""41""', '""0""', '""1,026""', '""168""', '""2,588""', '""2,126""', '""0""', '""613""']",6564,68,7981
AG,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""47""']",47,5,3
AR,"['""37""', '""648""', '""4,472""', '""761""', '""33,885""', '""2,684""', '""16,089""', '""0""', '""3,326""']",61905,347,36610
AM,"['""0""', '""7""', '""341""', '""1,090""', '""0""', '""1,351""', '""201""', '""0""', '""2,177""']",5169,82,4835
AU,"['""914""', '""26,907""', '""10,194""', '""25,076""', '""24,555""', '""15,658""', '""9,523""', '""0""', '""7,705""']",120536,758,75031
AT,"['""1,629""', '""8,005""', '""5,181""', '""8,486""', '""0""', '""1,686""', '""1,344""', '""0""', '""8,368""']",34702,1332,21844
AZ,"['""0""', '""0""', '""179""', '""2,504""', '""80""', '""1,160""', '""2,542""', '""0""', '""3,157""']",9624,80,7450
BH,"['""0""', '""0""', '""0""', '""0""', '""0""', '""18""', '""0""', '""0""', '""12""']",30,9,7035
BD,"['""2""', '""0""', '""2""', '""0""', '""4,539""', '""2,506""', '""1,661""', '""0""', '""263""']",8976,179,23148
BB,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,27,1
BY,"['""240""', '""14,994""', '""11,231""', '""15,659""', '""0""', '""1,705""', '""4,883""', '""0""', '""6,502""']",55217,647,11719
BE,"['""81""', '""229""', '""822""', '""2,739""', '""2,146""', '""593""', '""932""', '""0""', '""1,458""']",9003,186,15241
BZ,"['""11""', '""18""', '""87""', '""393""', '""0""', '""0""', '""0""', '""0""', '""128""']",639,8,62
BJ,"['""0""', '""1""', '""0""', '""0""', '""1,017""', '""0""', '""0""', '""0""', '""35""']",1055,4,162
BT,"['""0""', '""0""', '""0""', '""27""', '""41""', '""218""', '""273""', '""0""', '""466""']",1027,5,100
BO,"['""0""', '""0""', '""19""', '""3,551""', '""46""', '""3,644""', '""235""', '""0""', '""829""']",8326,57,2626
BA,"['""0""', '""14""', '""31""', '""1,029""', '""0""', '""1,380""', '""653""', '""0""', '""2,606""']",5715,101,5602
BW,"['""0""', '""0""', '""0""', '""402""', '""1,810""', '""1,544""', '""849""', '""0""', '""656""']",5264,59,828
BR,"['""54""', '""596""', '""2,179""', '""65,290""', '""72,608""', '""61,371""', '""83,104""', '""13,723""', '""4,724""']",303652,1894,120995
BN,"['""0""', '""0""', '""0""', '""241""', '""54""', '""67""', '""0""', '""0""', '""0""']",363,13,807
BG,"['""15""', '""871""', '""6""', '""4,239""', '""0""', '""2,267""', '""2,404""', '""0""', '""9,273""']",19077,447,10724
BF,"['""27""', '""349""', '""0""', '""423""', '""314""', '""339""', '""0""', '""0""', '""359""']",1813,22,491
BI,"['""0""', '""0""', '""0""', '""169""', '""0""', '""78""', '""0""', '""0""', '""1""']",249,16,138
KH,"['""0""', '""0""', '""0""', '""651""', '""0""', '""1,755""', '""0""', '""0""', '""60""']",2467,34,3731
CM,"['""1""', '""0""', '""1""', '""942""', '""0""', '""1,056""', '""0""', '""0""', '""245""']",2247,30,1851
CA,"['""4,643""', '""12,979""', '""15,319""', '""28,234""', '""32,285""', '""44,564""', '""18,533""', '""12,785""', '""17,645""']",186990,1129,138954
CV,"['""0""', '""7""', '""0""', '""39""', '""0""', '""0""', '""0""', '""0""', '""0""']",47,58,22
CF,"['""0""', '""0""', '""0""', '""84""', '""0""', '""0""', '""0""', '""0""', '""55""']",140,7,70
TD,"['""0""', '""22""', '""0""', '""45""', '""0""', '""0""', '""0""', '""0""', '""139""']",207,5,25
CL,"['""8""', '""1,511""', '""325""', '""6,692""', '""727""', '""11,994""', '""2,921""', '""0""', '""3,207""']",27387,914,35310
CO,"['""0""', '""16""', '""1""', '""2,944""', '""0""', '""8,084""', '""3,250""', '""0""', '""2,436""']",16733,129,14694
KM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,6
CR,"['""43""', '""0""', '""85""', '""0""', '""390""', '""1,750""', '""0""', '""0""', '""73""']",2343,55,2139
HR,"['""2""', '""618""', '""1,949""', '""4,448""', '""0""', '""883""', '""752""', '""0""', '""1,681""']",10335,163,4325
CU,"['""0""', '""0""', '""0""', '""3,751""', '""0""', '""2,494""', '""0""', '""0""', '""207""']",6454,199,2977
CY,"['""0""', '""0""', '""0""', '""212""', '""663""', '""0""', '""0""', '""0""', '""248""']",1124,456,2124
CZ,"['""238""', '""39,149""', '""7,280""', '""8,170""', '""0""', '""1,133""', '""3,117""', '""0""', '""961""']",60051,570,15411
CD,"['""10""', '""12""', '""64""', '""1,567""', '""183""', '""1,908""', '""3,679""', '""0""', '""522""']",7949,56,3062
DK,"['""1""', '""161""', '""1,077""', '""4,477""', '""3,228""', '""669""', '""1,542""', '""0""', '""117""']",11274,434,12071
DJ,"['""0""', '""0""', '""0""', '""72""', '""0""', '""68""', '""0""', '""0""', '""53""']",194,5,160
DM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,26
DO,"['""0""', '""0""', '""0""', '""52""', '""1,853""', '""142""', '""217""', '""0""', '""211""']",2477,221,3872
EC,"['""1""', '""81""', '""73""', '""2,859""', '""2,187""', '""2,269""', '""489""', '""0""', '""416""']",8379,85,5644
EG,"['""0""', '""0""', '""0""', '""9,136""', '""1,260""', '""11,292""', '""5,931""', '""0""', '""2,032""']",29652,95,61639
SV,"['""0""', '""0""', '""0""', '""958""', '""0""', '""254""', '""0""', '""0""', '""25""']",1239,62,1885
GQ,"['""0""', '""0""', '""0""', '""444""', '""0""', '""457""', '""0""', '""0""', '""247""']",1149,8,274
ER,"['""0""', '""0""', '""0""', '""44""', '""55""', '""0""', '""0""', '""0""', '""11""']",112,4,132
EE,"['""171""', '""1,260""', '""1,890""', '""2,580""', '""8""', '""0""', '""1,750""', '""0""', '""1,270""']",8933,881,4078
SZ,"['""0""', '""0""', '""0""', '""169""', '""324""', '""0""', '""86""', '""0""', '""9""']",589,21,78
ET,"['""0""', '""0""', '""31""', '""677""', '""4,999""', '""6,107""', '""3,345""', '""0""', '""928""']",16089,31,5404
FM,"['""0""', '""9""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",9,3,0
FJ,"['""0""', '""5""', '""136""', '""83""', '""144""', '""0""', '""0""', '""0""', '""96""']",467,17,202
FI,"['""30""', '""1,442""', '""705""', '""15,760""', '""16""', '""1,083""', '""5,554""', '""0""', '""26,432""']",51026,435,17973
FR,"['""3,693""', '""120,429""', '""410""', '""49,414""', '""1,000""', '""23,636""', '""14,187""', '""0""', '""7,275""']",220046,4669,136167
GA,"['""0""', '""0""', '""0""', '""197""', '""0""', '""178""', '""0""', '""0""', '""74""']",450,10,291
GE,"['""0""', '""11""', '""329""', '""1,388""', '""6""', '""1,572""', '""966""', '""0""', '""2,165""']",6440,72,2708
DE,"['""916""', '""23,783""', '""1,574""', '""45,411""', '""883""', '""6,178""', '""13,418""', '""159""', '""50,718""']",143045,9647,125184
GH,"['""0""', '""10""', '""0""', '""0""', '""3,940""', '""68""', '""1,145""', '""0""', '""408""']",5572,27,5043
GR,"['""9""', '""76""', '""0""', '""53""', '""9,045""', '""2""', '""3,362""', '""0""', '""423""']",12974,6503,14201
GD,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
GT,"['""0""', '""0""', '""0""', '""631""', '""110""', '""1,688""', '""0""', '""0""', '""139""']",2569,59,2705
GN,"['""0""', '""0""', '""0""', '""410""', '""0""', '""584""', '""0""', '""0""', '""51""']",1046,17,1055
GW,"['""0""', '""0""', '""0""', '""0""', '""0""', '""146""', '""0""', '""0""', '""0""']",146,0,0
