codeiso2,power_line_range_length,power_line_total_length,power_plant_count,power_plant_output_mw
GY,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""5""']",5,6,146
HT,"['""0""', '""0""', '""0""', '""102""', '""0""', '""0""', '""0""', '""0""', '""83""']",185,5,51
HN,"['""0""', '""0""', '""0""', '""17""', '""833""', '""830""', '""0""', '""0""', '""50""']",1733,47,2006
HU,"['""411""', '""28,641""', '""497""', '""13""', '""6,545""', '""1,024""', '""2,440""', '""0""', '""6,590""']",46166,796,7861
IS,"['""0""', '""1""', '""30""', '""1,009""', '""1,263""', '""1,045""', '""0""', '""0""', '""4,404""']",7753,46,2868
IN,"['""4""', '""146""', '""665""', '""58,469""', '""108,836""', '""112,197""', '""120,810""', '""43,494""', '""10,466""']",455090,3068,331472
ID,"['""0""', '""348""', '""0""', '""3,394""', '""25,538""', '""2,866""', '""5,106""', '""0""', '""1,457""']",38712,561,72096
IR,"['""3""', '""133""', '""4""', '""18,772""', '""13,112""', '""19,281""', '""18,798""', '""0""', '""11,729""']",81835,272,77590
IQ,"['""0""', '""0""', '""521""', '""49""', '""9,380""', '""0""', '""5,398""', '""0""', '""4,300""']",19651,95,34590
IE,"['""376""', '""12,899""', '""6,268""', '""5,086""', '""0""', '""1,822""', '""486""', '""0""', '""13,202""']",40143,302,13105
IL,"['""0""', '""0""', '""10""', '""4""', '""2,732""', '""0""', '""663""', '""0""', '""2,349""']",5760,199,18128
IT,"['""630""', '""4,329""', '""191""', '""2,674""', '""41,425""', '""9,043""', '""10,363""', '""0""', '""27,600""']",96257,6214,61669
CI,"['""1""', '""7""', '""0""', '""3,309""', '""0""', '""3,022""', '""42""', '""0""', '""4,609""']",10992,15,2329
JM,"['""0""', '""0""', '""0""', '""207""', '""360""', '""0""', '""0""', '""0""', '""54""']",623,20,1081
JP,"['""91""', '""156""', '""790""', '""27,851""', '""13,076""', '""11,321""', '""8,678""', '""0""', '""12,155""']",74123,13733,220065
JO,"['""0""', '""0""', '""0""', '""0""', '""1,608""', '""287""', '""465""', '""0""', '""312""']",2673,105,6084
KZ,"['""21""', '""182""', '""3,575""', '""20,657""', '""0""', '""21,217""', '""7,980""', '""0""', '""13,179""']",66812,231,19713
KE,"['""4""', '""15""', '""424""', '""0""', '""2,475""', '""2,136""', '""1,550""', '""0""', '""565""']",7173,52,2999
NL,"['""17""', '""261""', '""961""', '""1,943""', '""2,672""', '""783""', '""1,370""', '""0""', '""107""']",8118,1035,38052
KI,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,3,0
KW,"['""0""', '""0""', '""0""', '""31""', '""1,805""', '""937""', '""618""', '""0""', '""1,556""']",4948,16,19983
KG,"['""0""', '""0""', '""42""', '""1,022""', '""0""', '""1,576""', '""973""', '""0""', '""2,499""']",6114,33,4099
LA,"['""0""', '""0""', '""0""', '""4,188""', '""0""', '""2,181""', '""342""', '""0""', '""509""']",7222,92,11578
LV,"['""68""', '""21,045""', '""0""', '""2,904""', '""0""', '""0""', '""1,629""', '""0""', '""800""']",26447,136,2797
LB,"['""0""', '""0""', '""0""', '""270""', '""164""', '""368""', '""0""', '""0""', '""62""']",866,112,2302
LS,"['""11""', '""18""', '""534""', '""161""', '""447""', '""0""', '""0""', '""0""', '""122""']",1296,4,102
LR,"['""0""', '""0""', '""0""', '""51""', '""0""', '""446""', '""0""', '""0""', '""2""']",499,7,170
LY,"['""184""', '""0""', '""266""', '""415""', '""1,449""', '""8,312""', '""3,926""', '""0""', '""12,256""']",26812,31,11903
LI,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""5""']",5,2,18
LT,"['""18""', '""328""', '""3,466""', '""4,239""', '""0""', '""12""', '""1,602""', '""0""', '""1,385""']",11053,297,4145
LU,"['""0""', '""17""', '""0""', '""401""', '""1""', '""136""', '""0""', '""0""', '""895""']",1452,45,1450
MG,"['""0""', '""0""', '""0""', '""83""', '""151""', '""0""', '""0""', '""0""', '""59""']",294,31,376
MW,"['""0""', '""7""', '""2""', '""962""', '""1,141""', '""0""', '""193""', '""0""', '""53""']",2360,14,534
MY,"['""0""', '""4""', '""127""', '""18""', '""6,902""', '""6,824""', '""1,079""', '""0""', '""474""']",15431,172,37402
MV,"['""0""', '""0""', '""0""', '""0""', '""17""', '""8""', '""0""', '""0""', '""4""']",31,28,0
ML,"['""0""', '""0""', '""0""', '""118""', '""379""', '""772""', '""0""', '""0""', '""23""']",1293,22,818
MT,"['""0""', '""1""', '""55""', '""0""', '""13""', '""0""', '""0""', '""0""', '""0""']",71,8,307
MH,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,1,0
MR,"['""0""', '""0""', '""0""', '""191""', '""0""', '""597""', '""0""', '""0""', '""735""']",1524,29,574
MU,"['""0""', '""0""', '""0""', '""150""', '""0""', '""0""', '""0""', '""0""', '""5""']",156,30,489
MX,"['""0""', '""24""', '""1""', '""39,648""', '""1,192""', '""23,130""', '""20,798""', '""0""', '""2,253""']",87051,419,91057
MD,"['""246""', '""8,657""', '""1,959""', '""3,250""', '""0""', '""0""', '""478""', '""0""', '""894""']",15487,53,2929
MC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,0,0
MN,"['""0""', '""63""', '""2,047""', '""4,683""', '""0""', '""2,012""', '""0""', '""0""', '""6,025""']",14831,70,2118
ME,"['""0""', '""0""', '""123""', '""637""', '""0""', '""106""', '""216""', '""0""', '""896""']",1980,10,977
MA,"['""2""', '""9,192""', '""1""', '""10,684""', '""102""', '""8,811""', '""1,993""', '""0""', '""6,298""']",37086,106,11060
MZ,"['""18""', '""0""', '""0""', '""3,674""', '""11""', '""2,292""', '""2,033""', '""0""', '""705""']",8736,25,3318
MM,"['""2""', '""2,130""', '""338""', '""2,847""', '""2,225""', '""5,817""', '""351""', '""0""', '""344""']",14057,79,7013
NA,"['""14""', '""7,557""', '""8,501""', '""3,547""', '""2,236""', '""2,473""', '""2,876""', '""0""', '""702""']",27909,110,760
NR,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""1""']",1,3,6
NP,"['""2""', '""0""', '""99""', '""152""', '""2,287""', '""570""', '""367""', '""0""', '""217""']",3697,72,1298
NZ,"['""1,432""', '""50,304""', '""7,571""', '""7,022""', '""0""', '""6,043""', '""704""', '""0""', '""6,805""']",79884,130,10061
NI,"['""0""', '""0""', '""0""', '""114""', '""1,599""', '""653""', '""0""', '""0""', '""118""']",2485,32,1317
NE,"['""0""', '""0""', '""0""', '""95""', '""646""', '""0""', '""0""', '""0""', '""631""']",1372,16,289
NG,"['""0""', '""20""', '""18""', '""0""', '""5,976""', '""0""', '""6,865""', '""0""', '""630""']",13510,77,16280
KP,"['""0""', '""0""', '""0""', '""828""', '""3""', '""1,333""', '""0""', '""0""', '""3,719""']",5885,63,1600
MK,"['""0""', '""0""', '""0""', '""886""', '""0""', '""65""', '""423""', '""0""', '""146""']",1521,32,1678
NO,"['""418""', '""14,627""', '""1,672""', '""9,002""', '""11,039""', '""4,410""', '""5,168""', '""0""', '""11,859""']",58198,1160,40922
OM,"['""0""', '""0""', '""0""', '""0""', '""6,743""', '""941""', '""1,626""', '""0""', '""1,283""']",10595,40,14375
PK,"['""3""', '""19""', '""4""', '""2,414""', '""14,062""', '""6,275""', '""7,171""', '""886""', '""10,352""']",41189,241,48260
PW,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
PA,"['""0""', '""0""', '""0""', '""291""', '""0""', '""1,714""', '""0""', '""0""', '""137""']",2143,86,3421
PG,"['""0""', '""26""', '""0""', '""312""', '""412""', '""0""', '""0""', '""0""', '""201""']",953,29,402
PY,"['""5""', '""25""', '""1""', '""266""', '""0""', '""3,455""', '""714""', '""0""', '""324""']",4793,4,3310
CN,"['""16""', '""572""', '""6,470""', '""211,394""', '""44""', '""286,943""', '""212,302""', '""67,394""', '""219,273""']",1004412,10516,1652440
PE,"['""0""', '""0""', '""97""', '""600""', '""2,928""', '""9,177""', '""2,881""', '""0""', '""5,127""']",20814,122,11736
PH,"['""100""', '""231""', '""286""', '""3,665""', '""4,445""', '""4,505""', '""1,692""', '""0""', '""947""']",15874,220,26307
PL,"['""3,212""', '""56,849""', '""986""', '""30,264""', '""1""', '""5,955""', '""6,174""', '""0""', '""8,287""']",111732,2918,45481
PT,"['""19""', '""14,505""', '""13,289""', '""9,269""', '""2,023""', '""2,812""', '""2,927""', '""0""', '""1,644""']",46491,1405,27474
QA,"['""0""', '""0""', '""0""', '""81""', '""64""', '""544""', '""329""', '""0""', '""784""']",1805,18,12729
CG,"['""0""', '""0""', '""0""', '""567""', '""0""', '""1,030""', '""0""', '""0""', '""55""']",1652,6,762
RO,"['""7""', '""74""', '""48""', '""15,842""', '""0""', '""3,563""', '""4,586""', '""0""', '""3,615""']",27739,277,12761
RU,"['""1,416""', '""24,926""', '""112,548""', '""182,315""', '""2,239""', '""104,654""', '""61,083""', '""2,846""', '""121,032""']",613063,3698,248329
RW,"['""0""', '""0""', '""17""', '""623""', '""0""', '""405""', '""0""', '""0""', '""147""']",1195,32,279
KN,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,3,2
LC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,87
VC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,37
WS,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,16,33
SM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""12""']",12,0,0
SA,"['""0""', '""0""', '""1,175""', '""6,133""', '""12,371""', '""2,854""', '""23,909""', '""0""', '""4,667""']",51112,167,87053
SN,"['""0""', '""0""', '""0""', '""208""', '""0""', '""1,569""', '""0""', '""0""', '""341""']",2120,41,1418
RS,"['""1""', '""44""', '""397""', '""5,075""', '""0""', '""1,470""', '""1,610""', '""0""', '""2,975""']",11576,114,8023
SC,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""4""']",4,3,11
SL,"['""0""', '""0""', '""0""', '""0""', '""218""', '""375""', '""0""', '""0""', '""2""']",597,20,231
SG,"['""0""', '""0""', '""0""', '""0""', '""0""', '""3""', '""0""', '""0""', '""13""']",17,27,11916
SK,"['""145""', '""13,478""', '""0""', '""4,539""', '""0""', '""519""', '""1,658""', '""0""', '""5,840""']",26181,205,5846
SI,"['""139""', '""1,845""', '""65""', '""1,837""', '""0""', '""261""', '""525""', '""0""', '""1,559""']",6234,118,2987
SB,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,0
SO,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""1""']",1,17,7
ZA,"['""8""', '""79""', '""283""', '""16,436""', '""26,597""', '""8,763""', '""20,766""', '""2,799""', '""7,226""']",82961,804,66193
KR,"['""0""', '""114""', '""0""', '""0""', '""9,298""', '""108""', '""4,557""', '""556""', '""432""']",15069,2982,121794
SS,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""56""']",57,10,82
ES,"['""103""', '""9,695""', '""12,203""', '""15,594""', '""16,692""', '""15,754""', '""14,887""', '""0""', '""31,568""']",116499,4098,87914
LK,"['""16""', '""224""', '""373""', '""0""', '""2,295""', '""1,049""', '""0""', '""0""', '""292""']",4252,66,3248
PS,"['""0""', '""0""', '""0""', '""0""', '""121""', '""0""', '""0""', '""0""', '""52""']",174,67,208
SD,"['""0""', '""0""', '""0""', '""1,005""', '""0""', '""4,062""', '""976""', '""0""', '""381""']",6426,89,3913
SR,"['""0""', '""0""', '""0""', '""0""', '""133""', '""0""', '""0""', '""0""', '""0""']",133,9,377
SE,"['""6""', '""999""', '""4,417""', '""8,731""', '""7,051""', '""4,006""', '""10,840""', '""0""', '""17,322""']",53373,1257,26113
CH,"['""74""', '""505""', '""296""', '""2,345""', '""1,670""', '""2,355""', '""1,409""', '""0""', '""4,753""']",13410,453,16682
SY,"['""22""', '""0""', '""0""', '""3,143""', '""75""', '""5,622""', '""1,710""', '""0""', '""14,355""']",24930,61,7780
ST,"['""0""', '""0""', '""103""', '""0""', '""0""', '""0""', '""0""', '""0""', '""6""']",110,5,32
TW,"['""0""', '""0""', '""0""', '""1,277""', '""2,215""', '""0""', '""2,220""', '""0""', '""1,787""']",7501,326,54176
TJ,"['""0""', '""0""', '""67""', '""699""', '""4""', '""1,564""', '""793""', '""0""', '""1,947""']",5076,42,9434
TZ,"['""2""', '""11""', '""74""', '""273""', '""1,619""', '""4,314""', '""674""', '""0""', '""592""']",7562,30,3796
TH,"['""0""', '""26""', '""0""', '""9,675""', '""0""', '""7,932""', '""4,206""', '""0""', '""162""']",22004,319,38777
BS,"['""0""', '""0""', '""0""', '""0""', '""21""', '""0""', '""0""', '""0""', '""102""']",123,13,225
GM,"['""0""', '""0""', '""0""', '""0""', '""0""', '""143""', '""0""', '""0""', '""4""']",148,6,156
TL,"['""0""', '""0""', '""0""', '""0""', '""547""', '""0""', '""0""', '""0""', '""4""']",552,4,272
TG,"['""0""', '""0""', '""0""', '""0""', '""401""', '""0""', '""41""', '""0""', '""288""']",731,6,282
TO,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""3""']",3,6,0
TT,"['""0""', '""0""', '""0""', '""29""', '""145""', '""50""', '""0""', '""0""', '""50""']",277,4,0
TN,"['""5""', '""20""', '""216""', '""171""', '""2,605""', '""2,316""', '""210""', '""0""', '""375""']",5921,33,6247
TR,"['""15""', '""11""', '""3,295""', '""207""', '""32,721""', '""0""', '""23,301""', '""3""', '""9,739""']",69295,1373,81956
TM,"['""0""', '""0""', '""0""', '""3,098""', '""0""', '""5,441""', '""769""', '""0""', '""4,992""']",14302,40,5451
TV,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,2,0
UG,"['""29""', '""5""', '""1""', '""29""', '""1,473""', '""618""', '""302""', '""0""', '""846""']",3307,39,1901
UA,"['""221""', '""3,290""', '""63,975""', '""31,290""', '""8,152""', '""3,524""', '""13,393""', '""3,825""', '""3,068""']",130743,1159,52812
AE,"['""0""', '""0""', '""210""', '""0""', '""845""', '""1,802""', '""3,443""', '""0""', '""4,373""']",10675,102,62026
GB,"['""253""', '""35,500""', '""27,895""', '""4,299""', '""13,993""', '""5,510""', '""7,421""', '""0""', '""65,724""']",160597,3281,103369
US,"['""10,407""', '""40,287""', '""54,887""', '""320,692""', '""169,644""', '""123,086""', '""142,488""', '""3,923""', '""126,738""']",992156,14122,1258406
UY,"['""0""', '""0""', '""188""', '""490""', '""3,704""', '""0""', '""1,224""', '""0""', '""1,739""']",7347,76,3910
UZ,"['""0""', '""0""', '""100""', '""2,488""', '""0""', '""8,096""', '""2,096""', '""0""', '""8,758""']",21540,141,20726
VU,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,5,4
VA,"['""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""', '""0""']",0,0,0
VE,"['""6""', '""18""', '""10""', '""7,687""', '""37""', '""5,020""', '""4,819""', '""2,250""', '""2,343""']",22193,75,24512
VN,"['""0""', '""43""', '""11""', '""9,030""', '""0""', '""9,944""', '""8,552""', '""0""', '""2,004""']",29587,501,64560
YE,"['""0""', '""0""', '""0""', '""0""', '""1,286""', '""0""', '""195""', '""0""', '""641""']",2123,1660,264
ZM,"['""0""', '""0""', '""236""', '""4,802""', '""1,629""', '""630""', '""4,554""', '""0""', '""1,243""']",13097,31,3856
ZW,"['""0""', '""0""', '""13""', '""442""', '""2,581""', '""0""', '""3,755""', '""0""', '""405""']",7198,45,3236
