codeiso2,nb_international_connections,nb_substations,grid_connectivity
QA,1.0,177.0,56x88 + 3x2 + 2x1
CG,2.0,26.0,20x23 + 2x2 + 2x1
RO,,,
RU,,,
RW,10.0,39.0,30x38 + 1x1
KN,,,
LC,,,
VC,,,
WS,,,
SM,,,
SA,,,
SN,9.0,60.0,21x27 + 6x9 + 2x1 + 1x2
RS,,,
SC,,,
SL,2.0,10.0,5x6 + 3x2
SG,,,
SK,,,
SI,,,
SB,,,
SO,,,
ZA,,,
KR,1.0,1152.0,480x1208 + 5x6 + 4x11 + 4x3 + 3x5 + 3x5 + 3x4 + 3x4 + 3x4 + 3x3 + 3x3 + 3x2 + 2x6 + 2x5 + 2x4 + 2x4 + 2x4 + 2x3 + 2x3 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x2 + 1x2 + 1x2 + 1x2 + 1x2 + 1x2 + 1x2 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1
SS,4.0,6.0,2x1 + 1x2
ES,,,
LK,0.0,119.0,74x103
PS,7.0,10.0,1x1
SD,7.0,83.0,65x93 + 2x1 + 1x1
SR,0.0,11.0,2x1 + 2x1
SE,,,
CH,,,
SY,14.0,264.0,169x410 + 12x15 + 4x4 + 3x7 + 3x6 + 3x2 + 2x3 + 2x2 + 1x4 + 1x3 + 1x1 + 1x1 + 1x1 + 1x1
ST,,,
TW,,,
TJ,,,
TZ,5.0,139.0,61x78 + 2x2 + 2x1 + 2x1 + 1x1
TH,18.0,688.0,285x603 + 3x2 + 2x1 + 2x1
BS,,,
GM,2.0,2.0,2x3
TL,0.0,17.0,5x6 + 4x6
TG,7.0,20.0,8x12 + 1x1
TO,,,
TT,,,
TN,7.0,155.0,75x150 + 2x3
TR,15.0,3669.0,959x1838 + 7x8 + 6x7 + 3x4 + 3x4 + 3x4 + 3x3 + 3x2 + 3x2 + 3x2 + 3x2 + 3x2 + 3x2 + 2x9 + 2x5 + 2x4 + 2x2 + 2x2 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x2 + 1x1 + 1x1 + 1x1
TM,27.0,466.0,61x167 + 44x141 + 40x132 + 6x11 + 6x10 + 4x8 + 3x2 + 3x2 + 3x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x3 + 1x1 + 1x1 + 1x1 + 1x1 + 1x1
TV,,,
UG,,,
UA,,,
AE,2.0,1049.0,158x426 + 3x4 + 2x2 + 2x1 + 1x2
GB,,,
US,,,
UY,6.0,237.0,131x178 + 3x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x1
UZ,,,
VU,,,
VA,,,
VE,,,
VN,,,
YE,0.0,25.0,14x30 + 3x3 + 3x3
ZM,11.0,277.0,157x272 + 5x4 + 2x3 + 2x1 + 2x1 + 2x1 + 1x1
ZW,12.0,178.0,95x135 + 2x1 + 1x1
